carriers,locs,techs,timesteps,carrier_prod
biomass,Mainkofen,supply_biomass,2023-01-12 20:00:00,949.41875
biomass,Mainkofen,supply_biomass,2023-01-12 21:00:00,908.45625
biomass,Mainkofen,supply_biomass,2023-01-12 22:00:00,880.0
biomass,Mainkofen,supply_biomass,2023-01-12 23:00:00,859.35
biomass,Mainkofen,supply_biomass,2023-01-13 00:00:00,841.7875
biomass,Mainkofen,supply_biomass,2023-01-13 01:00:00,848.49375
biomass,Mainkofen,supply_biomass,2023-01-13 02:00:00,833.21875
biomass,Mainkofen,supply_biomass,2023-01-13 03:00:00,834.76875
biomass,Mainkofen,supply_biomass,2023-01-13 04:00:00,877.01875
biomass,Mainkofen,supply_biomass,2023-01-13 05:00:00,907.475
biomass,Mainkofen,supply_biomass,2023-01-13 06:00:00,979.7625
biomass,Mainkofen,supply_biomass,2023-01-13 07:00:00,1224.9125
biomass,Mainkofen,supply_biomass,2023-01-13 08:00:00,1345.3438
biomass,Mainkofen,supply_biomass,2023-01-13 09:00:00,1322.725
biomass,Mainkofen,supply_biomass,2023-01-13 10:00:00,1254.2
biomass,Mainkofen,supply_biomass,2023-01-13 11:00:00,1213.0813
biomass,Mainkofen,supply_biomass,2023-01-13 12:00:00,1111.3937
biomass,Mainkofen,supply_biomass,2023-01-13 13:00:00,1084.1875
biomass,Mainkofen,supply_biomass,2023-01-13 14:00:00,1089.3
biomass,Mainkofen,supply_biomass,2023-01-13 15:00:00,1043.2563
biomass,Mainkofen,supply_biomass,2023-01-13 16:00:00,1049.775
biomass,Mainkofen,supply_biomass,2023-01-13 17:00:00,1055.0563
biomass,Mainkofen,supply_biomass,2023-01-13 18:00:00,1036.3438
biomass,Mainkofen,supply_biomass,2023-01-13 19:00:00,1005.425
biomass,Mainkofen,supply_biomass,2023-01-13 20:00:00,965.0875
biomass,Mainkofen,supply_biomass,2023-01-13 21:00:00,919.06875
biomass,Mainkofen,supply_biomass,2023-01-13 22:00:00,889.78125
biomass,Mainkofen,supply_biomass,2023-01-13 23:00:00,853.29375
biomass,Mainkofen,supply_biomass,2023-01-14 00:00:00,837.70625
biomass,Mainkofen,supply_biomass,2023-01-14 01:00:00,833.575
biomass,Mainkofen,supply_biomass,2023-01-14 02:00:00,836.525
biomass,Mainkofen,supply_biomass,2023-01-14 03:00:00,846.6625
biomass,Mainkofen,supply_biomass,2023-01-14 04:00:00,839.475
biomass,Mainkofen,supply_biomass,2023-01-14 05:00:00,889.98125
biomass,Mainkofen,supply_biomass,2023-01-14 06:00:00,923.275
biomass,Mainkofen,supply_biomass,2023-01-14 07:00:00,1035.175
biomass,Mainkofen,supply_biomass,2023-01-14 08:00:00,1043.0563
biomass,Mainkofen,supply_biomass,2023-01-14 09:00:00,1080.3375
biomass,Mainkofen,supply_biomass,2023-01-14 10:00:00,1037.8938
biomass,Mainkofen,supply_biomass,2023-01-14 11:00:00,987.75625
biomass,Mainkofen,supply_biomass,2023-01-14 12:00:00,997.19375
biomass,Mainkofen,supply_biomass,2023-01-14 13:00:00,998.4125
biomass,Mainkofen,supply_biomass,2023-01-14 14:00:00,995.2875
biomass,Mainkofen,supply_biomass,2023-01-14 15:00:00,941.15625
biomass,Mainkofen,supply_biomass,2023-01-14 16:00:00,938.23125
biomass,Mainkofen,supply_biomass,2023-01-14 17:00:00,1014.6375
biomass,Mainkofen,supply_biomass,2023-01-14 18:00:00,990.45
biomass,Mainkofen,supply_biomass,2023-01-14 19:00:00,961.4375
biomass,Mainkofen,supply_biomass,2023-01-14 20:00:00,943.10625
biomass,Mainkofen,supply_biomass,2023-01-14 21:00:00,895.0875
biomass,Mainkofen,supply_biomass,2023-01-14 22:00:00,869.9625
biomass,Mainkofen,supply_biomass,2023-01-14 23:00:00,846.475
